Sample,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
Compound2879,5.564678432,5.460840441,5.707469512,5.684019478,5.494788237,5.684443031,5.559110062,5.287236177,5.822316228,5.586397143,5.713965943,5.55177637,5.87444069,5.651785392,5.673770595,5.513901558,5.607550301,5.631594851,5.538335639,5.577305605,5.618500712,5.674635158,5.562288982,5.556849798,5.46846891,5.297701143
Compound3114,6.835825397,6.885345798,6.870064298,6.885266685,6.59592261,6.796003946,6.56338176,6.907935159,6.868619225,7.006728573,6.648606638,6.633432931,6.774135618,6.836758413,6.925834505,7.416704323,7.069962802,6.800773454,6.874463764,6.820283773,6.717393825,6.77568246,6.965933426,6.703242543,6.952911187,6.759369065
Compound3215,7.160567384,7.440064293,7.132858947,7.018798587,7.046178429,7.125647305,7.396065572,6.898721586,6.970822135,6.914347102,7.047898421,7.270966348,7.073687123,6.951875425,7.220487869,7.2031333,7.129401116,7.110771956,6.829693584,6.963401575,6.711976861,6.909090146,7.030922594,6.976900084,7.191754238,7.24621008
Compound4283,7.554615983,7.504431459,6.838024022,6.879670049,7.491246216,7.388875327,6.816670781,7.446169669,7.309961738,7.453642445,7.452091007,7.391631562,7.510269618,7.480329037,7.448427612,7.261697978,7.210226062,7.398867066,7.272064579,6.854362327,6.928800715,7.323251271,7.322263041,7.214093479,7.34480336,7.234721895
Compound4792,6.996453548,6.852241481,6.988604209,6.826794577,6.915330496,6.612500208,6.929757376,7.031199931,7.146185539,6.885527833,6.813320423,6.851705152,6.792185846,6.80291575,6.936126454,6.963138994,6.794172041,6.686044667,6.894330867,6.976927113,6.878398748,7.116498138,6.903807932,7.122620171,6.887545056,6.853299447
Compound5560,6.907666419,6.830901563,6.865356543,6.80274196,6.807932041,6.885591095,7.032586608,6.950561765,6.688033829,6.898007246,6.97335727,6.832783932,6.717232333,6.616597803,6.924414487,6.930922851,6.897552484,6.806691784,6.873241724,6.692213608,6.972137178,6.891621488,6.945260033,6.927368553,6.843270543,6.817173217
Compound6180,6.703989257,6.650479822,6.699923231,6.760423158,6.660686303,6.564870365,6.719116217,6.527155714,6.646764726,6.741674159,6.619307837,6.755997389,6.775564426,6.730657853,6.729302793,6.768152733,6.668391398,6.698834571,6.730645903,6.723505073,6.564699816,6.798713493,6.529266336,6.748008598,6.729771942,6.466035759
Compound6802,6.598987449,6.718968079,6.723949486,6.685390343,6.625950647,6.62880078,6.533659615,6.75381449,6.615390211,6.659787627,6.697563675,6.680733069,6.574105294,6.720895996,6.54409711,6.562360362,6.623991071,6.860978801,6.683902779,6.733308504,6.643939594,6.590744312,6.555885218,6.636004287,6.766464038,6.667424659
Compound7656,7.105927753,6.904293574,6.772399374,6.656932503,6.762855789,6.8192419,6.896321466,6.545259567,6.758973826,6.835889973,6.930740973,6.972103599,6.88600529,6.395167313,6.906145257,6.800523059,6.680585042,6.799401374,6.967334562,6.902414088,6.87274566,6.930940521,7.031201554,6.830905209,7.014604276,6.949494212
Compound8261,6.697504211,6.828271378,6.801700258,6.753553948,6.834927553,6.734484211,6.729920978,6.599731405,6.733824777,6.701186746,6.821204457,6.683347665,6.765328978,6.708877087,6.770447892,6.742280546,6.815277443,6.70418714,6.767753344,6.776671462,6.739976525,6.750090365,6.780756557,6.795302108,6.772769336,6.733058472
Compound9066,5.507618437,5.51447121,5.566671263,5.589509347,5.499968498,5.800855986,5.593538588,5.586419835,5.828845361,5.526731375,5.692985939,5.607832283,5.389088913,5.659640786,5.417190652,5.307327541,5.5811868,5.619637558,5.403739778,5.470721226,5.49949301,5.525602304,5.700330294,5.467090019,5.595438176,5.517720185
Compound9308,5.306416372,5.516840142,5.669549669,5.543694696,5.549949836,5.746769059,5.537740246,5.439290703,5.601238413,5.488948289,5.708441261,5.658226066,5.557697818,5.722848409,5.718502995,5.393093696,5.092384603,5.564511386,5.5170626,5.210234405,5.642569038,5.73593749,5.57220121,5.594539005,5.404311819,5.396497807
Compound10033,6.34414126,6.327002033,6.303967606,6.199869024,6.260931663,6.4089642,6.372030269,6.125074511,6.390453248,6.205383075,6.26905502,6.260240711,6.188535412,5.965296889,6.306242264,6.201090708,6.336542274,6.25536093,6.10768596,6.246774211,6.057506207,6.276436314,6.210819441,6.161299507,6.353475597,6.458278514
Compound643,8.159721797,8.252019145,8.087004322,8.00925695,8.24217271,7.80540503,8.174834898,8.302492348,8.244291641,8.354433836,8.162542307,7.963087313,8.225664972,7.985599044,8.141476022,8.33805992,8.181647676,7.820611555,8.330730674,7.879476755,8.288458441,7.721474728,8.202804139,8.24764367,8.090981891,8.296991912
Compound867,7.170078812,7.158703728,7.030049299,7.248211229,7.277700174,8.048320136,6.953558863,7.26958055,7.364966247,7.333230364,7.256529749,6.948954709,6.979816047,7.255257849,7.198925527,7.198897509,7.381169778,7.240189932,7.266056122,7.428988005,7.074960916,7.086590718,7.230362712,7.240428626,7.222759157,7.308286302
Compound1388,7.81278036,8.087995074,8.151381766,7.663521964,8.099916415,7.24896796,7.962637929,8.035926236,8.05781922,7.980005613,7.923088229,7.857186508,8.013721763,8.092928725,8.064810209,7.977483865,8.054800822,7.731270596,8.02724666,8.04545715,8.035526372,7.639406449,7.746818079,7.951402085,7.833332577,7.70871126
Compound1805,5.63353379,5.504998382,5.693708173,5.578630539,5.621125759,5.776869574,5.576546391,5.557743631,5.843013874,5.540915337,5.601189425,5.560361633,5.360756822,5.732908068,5.555627316,5.582123787,5.680512399,5.665635106,5.617847373,5.539220326,5.685365518,5.493023635,5.715008842,5.699276168,5.730365588,5.53723459
Compound2134,7.394509062,7.432568921,7.362322249,7.20932257,7.244045395,7.277605321,7.302341861,7.074823223,7.058028145,7.487105495,7.155247365,7.331295961,7.277432069,7.491658698,7.228084226,7.419749803,7.381577579,6.872900109,7.046996598,7.238994137,7.224810648,7.359678418,7.417478783,7.538653294,7.369507849,7.3985847
Compound3124,7.449798097,7.432931684,7.491552613,7.355389503,7.514291782,7.141378524,7.090282571,7.338936647,7.269492393,7.285272114,7.393250982,7.465154867,7.080011361,7.130898175,7.295867383,7.397325036,7.443585732,7.020604446,7.154226625,7.349977738,7.349525106,7.407241732,7.358170251,7.162976517,7.24101082,7.589676624
Compound3355,7.570961702,7.576061671,7.588473044,7.01672986,7.567986267,7.623931954,6.827422521,7.563370026,7.599283285,7.613555032,7.533178773,7.23594971,7.421050382,7.392104311,7.255461859,7.325372974,7.395346211,7.465663715,7.445446996,7.776514926,7.604861621,7.070005816,7.323796657,7.488224925,7.562390302,7.720608824
Compound3502,5.584477346,5.273245184,5.753794436,5.512878961,5.628929022,5.622734481,5.63701939,5.466420866,5.672564317,5.475546103,5.710200182,5.613378614,5.550695233,5.6927129,5.602575857,5.575549489,5.592652442,5.529439989,5.742389276,5.592798786,5.300213339,5.71436371,5.38929014,5.464173098,5.671204484,5.130645543
Compound4083,6.618432058,6.711551752,6.684798907,6.700654051,6.749152993,6.557593639,6.678045303,6.65391125,6.600249819,6.56580215,6.746014273,6.623240188,6.675313747,6.703520587,6.630508514,6.64000601,6.77487388,6.572226056,6.578421143,6.753068283,6.586696157,6.559006202,6.689528193,6.721357586,6.652180031,6.726289323
Compound4500,7.087972766,7.204740108,7.328415119,6.880518198,7.110496933,7.216780386,6.984172507,7.281627131,6.623158896,7.093481975,7.294339715,7.182639191,7.232819088,7.068067782,7.229662128,7.148771222,7.288130285,7.459341729,7.314676652,7.056582573,7.372835278,7.098221022,7.334103398,7.000358665,6.994448102,7.294952076
Compound5137,6.970353676,6.761775244,7.001416814,7.056755214,7.255818001,7.102640262,6.872617847,6.952208853,7.215019437,7.114017501,7.236418203,7.152933742,7.084080393,7.141600273,7.189033813,7.378398396,7.126270325,7.377044233,7.31619244,7.13890349,7.101840807,6.754991513,7.325606883,7.190802134,7.155425969,6.779858956
Compound5861,6.972298672,6.994743299,6.820651067,6.801218844,6.772201704,6.877214952,6.920311272,6.905855066,6.843635014,6.764588219,6.908289144,6.976118051,6.784341013,6.674464081,6.801501949,6.956047845,7.140474477,7.00293879,6.998452291,7.015094073,6.783951163,6.997266358,6.904027206,7.05379242,7.004707456,6.943869532
Compound6105,5.573107191,5.616787019,5.775785593,5.514637596,5.456106452,5.653326385,5.628558354,5.54991565,5.980689706,5.369757353,5.517161984,5.640660244,5.695556655,5.737901742,5.554895685,5.357406213,5.643000773,5.508972118,5.620154076,5.63530591,5.488619934,5.519099029,5.602440982,5.347078959,5.503557983,5.473172482
Compound6714,6.59757858,6.664612859,6.470488519,6.493721599,6.581398733,6.742649057,6.640573661,6.778226142,6.740563382,6.726426039,6.767951783,6.668385585,6.753720038,6.757781782,6.888011323,6.710517966,6.882544301,6.77206662,6.73193133,6.45520116,6.531385427,6.900873549,6.73263534,6.578194958,6.636324274,6.757956901
Compound8263,6.761858369,6.352571028,6.84661919,6.87095417,6.870457202,6.603858117,6.846236353,6.816205198,6.689591555,6.705953894,6.747768108,6.74174475,6.853323727,6.900272564,6.843221144,6.632144496,6.913252048,6.757976643,6.880919724,6.736260133,6.647364333,6.804858207,6.536097485,6.818842591,6.714230965,6.778143363
Compound8611,5.621235761,5.400474496,5.645724903,5.514064757,5.478727046,5.591418215,5.386238871,5.565794634,5.783333173,5.374745442,5.695262877,5.60556774,5.550274934,5.694881258,5.626729379,5.274407319,5.622188877,5.347237951,5.380737875,5.443802453,5.577894228,5.574885058,5.674603213,5.578037216,5.620528839,5.342949773
Compound9509,6.674134554,6.724249421,6.440990544,6.654953857,6.461964137,6.55314228,6.609353111,6.635151817,6.414540459,6.65829521,6.492451888,6.562738697,6.465474838,6.621738031,6.626798004,6.532451105,6.632521301,6.369832467,6.572973788,6.598242858,6.539588143,6.560745409,6.529535355,6.692753249,6.633228047,6.424982238
Compound59,7.336916062,7.383762393,7.1895264,6.98913437,7.456729435,7.299075744,7.895779558,7.045862703,7.137433901,7.6095287,7.251788131,7.233751971,7.345646532,7.614984666,8.036888207,7.873268459,7.374730411,7.830229457,7.425802454,7.387175255,7.253922226,7.475946874,7.105339654,7.275023837,7.369539497,7.608803133
Compound105,8.913993811,9.122375897,9.292068027,9.292695135,9.288374654,9.209748297,9.268913169,9.233461395,9.221536311,9.363806181,9.428816458,9.02296928,9.171656692,9.415277546,9.075200276,9.386508013,9.057465637,9.210041522,9.217267666,9.123124996,9.285577204,9.144101234,9.168818328,9.335032924,9.383126259,8.933298299
Compound297,7.611036584,7.414219694,8.10724756,8.154531571,7.538449391,7.446721722,8.071341183,8.245937702,7.908536353,8.338485687,8.100619492,8.006581139,7.895432782,7.841268742,8.009898652,7.777316372,8.034767337,8.027828325,7.825167671,8.486144823,8.09589814,7.451783458,8.340926162,8.243435364,7.430689694,7.918410838
Compound340,8.414350477,8.148410532,8.123897481,7.915459794,8.064540773,8.338807632,8.593247031,8.340331098,8.229006492,8.010863359,8.581013181,8.439889854,8.126893716,8.446198964,8.275971635,8.263457226,7.882350048,8.233601015,8.237817782,8.377271118,8.464593286,7.753955273,8.49920282,7.701212366,8.342621044,8.519271579
Compound1361,5.480684649,5.451210978,5.461891485,5.653148832,5.544022361,5.703872395,5.457597415,5.690242526,5.792339416,5.502145645,5.581265782,5.627452123,5.496598373,5.712073678,5.597930388,5.554352405,5.377988311,5.156385225,5.749842103,5.531457222,5.559563766,5.736654275,5.446984038,5.648361289,5.560092634,5.459034818
Compound1675,7.205375991,7.177618532,7.091152562,6.921842888,7.066330432,7.299994739,7.690252601,7.302276242,7.170534924,7.092947905,7.319878024,7.14796357,7.004786392,6.96114969,7.208414645,7.074899615,7.042970488,6.98640361,7.184134882,6.747283289,7.024944086,7.124431669,6.992866421,7.042682524,7.261411545,7.380450948
Compound1754,7.479077769,7.711145435,7.642994998,7.579331821,7.703408818,7.792447495,7.747354061,7.724144581,7.484343452,7.581622511,7.618222241,7.312082947,7.768685378,6.930575796,7.669644487,7.732390979,7.436959832,7.563024183,7.638899235,7.47617016,7.783483235,7.195109387,7.399244826,7.801276501,7.295283495,7.401589728
Compound1865,6.934235638,7.32620201,7.160720306,6.922072801,7.273459566,7.428776533,7.456811797,7.032948963,7.048663863,7.473214243,7.322436665,6.924099679,7.485873469,7.303035923,6.806255944,7.344394453,7.322338836,7.353402725,7.450382671,7.590270283,7.387068292,7.10610119,7.59937767,7.273979583,7.182284477,7.153503428
Compound1954,7.495612919,7.1037701,7.46679817,7.582122522,7.278738786,7.563635782,7.37832077,7.365506946,7.429323154,7.587589943,7.501372981,7.502286707,7.713733147,7.591851775,7.660402293,7.676363989,7.301536806,6.733732149,7.502186883,7.524997012,7.590674308,7.393737143,7.77799588,7.541122452,7.210344499,7.222340552
Compound2213,7.26485185,7.606331469,7.590129865,7.373001586,7.306743876,7.650968693,7.595700496,7.774078067,7.345267003,7.061828473,7.469423737,7.625090096,7.555389729,7.660636316,7.389642555,7.708609127,7.332841272,7.406088992,7.714981222,7.791154526,7.460968076,7.68766345,7.603238941,7.77726827,7.874187683,7.779699312
Compound2649,7.280292962,6.969675294,7.289189813,7.07228768,6.936222223,6.936699323,7.135648893,6.866603859,7.345392625,6.759868536,6.767528412,7.336140464,7.043220555,7.197204661,7.02603711,7.110637382,7.092788824,7.226771181,7.434412493,7.229714451,7.071950331,7.167120209,6.963207677,7.227069022,7.177780619,6.754562655
Compound2797,7.058888161,7.013126594,7.003316318,7.137238301,6.878835358,7.259439881,7.110036819,6.760958721,6.939387432,6.97025879,7.034674686,7.086842855,6.964038432,7.06586396,6.893281167,7.150397379,6.921630835,6.817270407,7.219677146,6.374337004,7.050783061,7.35304766,7.109758965,7.049334722,7.095264349,6.986668699
Compound3192,5.510655034,5.537044807,5.371766639,5.679613416,5.510485848,5.676159475,5.522555414,5.6594383,5.910370681,5.47076702,5.626645123,5.567206004,5.581825886,5.640839476,5.638070978,5.453199626,5.527492816,5.495905994,5.630188937,5.375030896,5.638196735,5.613478089,5.487471879,5.53929916,5.720688016,5.374655172
Compound3321,6.817693278,6.802570021,7.026951351,6.869036978,7.017727465,7.190746175,6.872424892,6.958932778,7.066694571,6.882240171,7.164311956,6.989666442,6.757915485,6.897666571,6.923327685,6.895077435,7.00439511,6.903918167,7.201826087,6.896925075,6.812374626,6.697476198,7.031530279,6.741026744,6.875151529,7.402490847
Compound3503,6.897026462,7.198545275,6.659367118,6.739623522,6.902746768,6.649605355,6.680738131,6.793574527,6.73458562,6.82427839,6.84255205,6.755348315,6.64401949,6.732120596,6.826307722,6.604737645,6.694521487,6.811579726,6.754352283,6.866494539,6.762693123,7.001297177,6.886816111,6.854628475,6.971827619,6.796159707
Compound3721,5.413420764,5.457704302,5.503794085,5.407759905,5.67951129,5.805172924,5.706703791,5.481033933,5.793322998,5.263809873,5.627980117,5.548698979,5.514871503,5.758816253,5.557898647,5.507504434,5.669870017,5.347109003,5.452092878,5.549805773,5.597690675,5.588538147,5.617041517,5.569726314,5.646761893,5.536448229
Compound4230,5.443006224,5.459674524,5.716202882,5.681743443,5.412111111,5.655551526,5.416058187,5.516660969,5.645685471,5.587973224,5.738709651,5.618765864,5.490370468,5.683950008,5.594656325,5.413911663,5.644263646,5.39035921,5.589085806,5.446475299,5.55351952,5.658469152,5.718812962,5.593857605,5.712586849,5.353286749
Compound4521,7.036730528,7.139172231,7.042927238,7.097733571,7.227186514,7.251993715,7.015624399,7.069751659,7.157774709,6.867943226,7.271343034,7.218938307,7.22430419,6.853716636,7.255210275,6.824578827,6.430352722,7.008501284,6.869888957,7.031555598,6.867255058,7.105433534,7.268698312,6.877211063,6.95778278,7.201157595
Compound4789,7.124936197,7.208270425,6.919137437,6.997724408,7.086756384,6.199409133,6.877941315,6.904981983,7.071112271,7.281527757,7.101423188,7.145754745,7.218956466,7.107094529,7.35603955,7.071170482,7.146645155,6.898699658,7.145144117,7.090101256,7.186453385,6.897447092,7.120781107,7.282334025,7.265960434,7.111972886
Compound5645,7.110093737,7.090175062,7.058252147,7.084412537,7.033462812,6.84653359,6.704603974,7.192319883,6.910290209,7.31626719,7.092418884,7.11420734,7.100012044,7.138361051,7.132618736,7.297241899,7.051978983,7.041049673,7.097540961,7.195646048,6.925037733,7.211810164,7.214793346,7.186928466,7.162338013,7.094827538
Compound5657,7.046249422,7.135660434,7.128260192,7.24762476,7.164749115,6.941760847,7.004120251,7.042291134,6.774600128,7.072800828,6.888833019,6.540045358,7.178899648,7.126490201,7.000638349,7.054994296,7.060823395,7.116009754,7.218902943,6.902399343,7.178076263,6.978480266,6.975365703,7.104476829,7.060523722,6.775686854
Compound5783,7.000982446,7.038635729,6.78485523,7.062501894,6.976134023,7.04948542,6.884847877,7.018551314,7.104003875,6.923420611,6.962798828,6.590985553,7.143698068,6.880467291,7.107926322,6.96380095,7.086740684,6.998351867,7.095897225,7.06772826,7.077930367,6.982901659,6.727185056,7.079233899,7.25857526,6.703986465
Compound6296,5.465508401,5.549267753,5.483524364,5.602419935,5.620752361,5.62844756,5.49795347,5.640344913,5.423411589,5.573515569,5.700924598,5.492179935,5.581827041,5.794607587,5.654622761,5.361944348,5.508868113,5.415151111,5.552780524,5.593661072,5.526147339,5.448935173,5.590713914,5.439137348,5.698271447,5.57002463
Compound7248,6.860103381,7.081633534,6.905301781,7.055738537,6.875554239,6.906900663,7.200340673,6.910852572,7.004634861,6.763864428,6.88215777,7.087125615,7.04543375,6.948645706,6.892859953,6.683810244,6.86788397,6.904693261,7.023952988,6.823046709,6.541322955,6.999303734,6.932180968,6.871156726,7.001398998,6.95336059
Compound7754,6.90639679,6.930684031,6.635100396,6.909049464,6.656952363,6.914729575,6.87179456,6.937761222,6.917868695,6.698995844,6.757414379,6.899639122,6.948990346,6.857964139,6.617097991,6.832275719,6.583620613,6.552668641,6.719086407,6.677303922,6.762178878,6.767637353,6.824643751,6.831394765,6.74874733,6.961524363
Compound8102,6.910292345,6.853407229,6.719743276,6.845147263,6.861184779,6.804070624,6.902282598,6.817438204,6.865060184,6.848356944,6.714799095,6.939055076,6.920429363,6.701312646,6.757633477,6.828006022,6.787044422,6.909428415,6.75186192,6.776101141,6.708783111,6.688589929,6.802498549,6.672138686,6.852714453,6.730321464
Compound8133,6.66316048,6.742609732,6.787756747,6.728315867,6.452677841,6.784916003,6.671582206,6.6762631,6.678603814,6.777610777,6.857420672,6.682329417,6.696647054,6.799280987,6.673790258,6.650676739,6.594759029,6.841947202,6.72314046,6.712720294,6.80750436,6.55591806,6.80006432,6.792889657,6.7381531,6.669729309
Compound8918,5.219587172,5.310798412,5.551075092,5.673729781,5.674857439,5.664753056,5.55435848,5.494234637,5.879675079,5.607076109,5.372498287,5.602180972,5.688363094,5.815179965,5.606122499,5.524003961,5.44081947,5.18736414,5.394138472,5.673772704,5.498077669,5.644870468,5.613210062,5.561028976,5.669352816,5.417659189
Compound9211,6.674801814,6.695268365,6.555967936,6.596588842,6.654077405,6.616235926,6.620081336,6.643200363,6.699027864,6.592272529,6.691536551,6.58918091,6.607169599,6.612164011,6.573306483,6.691187639,6.627512304,6.621618662,6.616451903,6.713305372,6.592519416,6.554986906,6.669086448,6.648365537,6.615042515,6.59199856
Compound9556,5.519395771,5.442680343,5.637965788,5.416850208,5.482837807,5.827921407,5.590995005,5.441341658,5.860976563,5.459945938,5.671347041,5.631137609,5.569652895,5.685820973,5.58119861,5.335535463,5.499200703,5.527397653,5.61289117,5.53844376,5.495147671,5.757520154,5.591178558,5.603246146,5.612260538,5.332155433
Compound215,8.560720998,8.617908313,7.658548795,7.996510476,8.348911808,8.368622196,8.41980801,8.307135127,8.531613134,8.082455455,8.681420949,8.620539025,8.471538448,8.518245064,8.340878245,8.646435887,8.353875824,8.53491164,8.58575373,8.154582831,8.555232425,7.784882784,8.750084759,8.80421327,8.635085471,8.718420025
Compound294,5.55517262,5.61188206,5.584873291,5.61741367,5.550819538,5.479784324,5.579767477,5.618317201,5.742487451,5.673653295,5.714447482,5.68900963,5.688126687,5.649147995,5.434160768,5.427344943,5.685600269,5.594401471,5.360649762,5.034755671,5.665992569,5.590437802,5.635329247,5.538599964,5.668122507,5.572838175
Compound768,7.685374514,7.503598372,7.358893226,7.137605169,6.921971638,7.794305031,7.321238075,7.621792302,7.848480022,7.657969088,7.903705134,7.451679022,7.5847572,7.70377052,7.344724801,7.525340266,7.32030024,7.60577818,8.040953459,7.407055461,7.524441197,7.440599117,7.509679868,7.639863524,7.683989084,8.034647387
Compound993,7.455680217,7.371409489,7.354273146,7.632133442,7.657981264,7.44152626,7.722219958,7.413255701,7.363837752,7.541979929,7.487265903,7.233288235,7.729880055,7.454390286,7.531951597,7.565010249,7.364262406,7.447768458,7.513148972,7.460465875,7.782814486,7.76538675,7.463339171,7.555656588,7.530150502,7.499161607
Compound1825,5.596405318,5.647008827,5.706828876,5.576332457,5.636468579,5.758449232,5.612758443,5.492489056,5.774866733,5.444563625,5.543408692,5.659159553,5.627056795,5.703757996,5.686026159,5.356728769,5.423277812,5.554492358,5.494665296,5.640113897,5.452876676,5.669895025,5.490094144,5.680557845,5.422925948,5.442369616
Compound2668,7.434536612,7.566640662,7.401024829,7.350428416,7.165731806,7.508186059,7.455780701,7.254964162,7.256383748,7.494067475,7.352358691,7.334208534,7.218672333,7.364110201,7.312140126,7.59321809,7.446365597,7.33855122,7.410536161,7.334378791,7.286930662,7.456336713,7.602688334,7.537161309,7.321601088,7.024261513
Compound3137,7.034977348,7.082718433,7.059805618,7.14969096,7.176575637,7.046113339,7.103077253,7.004726128,7.149218638,7.09320082,6.677336503,6.663757379,6.670873505,7.139711677,6.990358178,7.053784872,6.707998835,7.040232628,6.876280929,7.007038527,7.000835527,7.068013749,6.584139511,7.191107474,7.04303746,7.293549116
Compound4852,7.008945775,7.063461293,7.161194968,7.368043466,7.281215415,7.113235995,7.122668487,7.190646527,7.233077626,7.14057438,7.284316742,6.890498874,7.243458576,6.743019959,7.1133492,7.335331187,7.228125607,7.290436417,7.220981308,7.308866245,7.18631739,7.089178088,7.145489244,7.139903418,7.487946533,7.397833727
Compound6164,5.554557022,5.449413246,5.628158264,5.590155786,5.524552228,5.717408334,5.583409342,5.622911983,5.769825271,5.625139742,5.549125794,5.615480855,5.763742672,5.857194231,5.685960625,5.580086742,5.653182452,5.670528977,5.701449152,5.107388104,5.403276397,5.650975256,5.503083131,5.590540336,5.790085651,5.477481971
Compound8622,5.44804233,5.570095767,5.752063548,5.365282744,5.599354781,5.686696392,5.623667618,5.5634782,5.638847055,5.520799411,5.586553285,5.585667971,5.581665956,5.808747641,5.560704856,5.376875648,5.661830523,5.461524639,5.637136789,5.500024741,5.492924384,5.517877758,5.63655321,5.581648525,5.705970676,5.536348116
Compound9530,6.52549872,6.491909899,6.528783754,6.578768775,6.552155107,6.579342021,6.51260684,6.622856985,6.570286717,6.622773171,6.688742559,6.538009504,6.529472984,6.502731164,6.415311348,6.398789797,6.519056407,6.459693152,6.63702707,6.513106992,6.187147927,6.502749991,6.549854961,6.590195553,6.631341359,6.573473246
Compound401,7.332294468,8.275304538,7.530331138,7.584151447,7.602684406,7.590625418,7.379709364,8.1172627,7.393207964,7.098751192,7.240269243,8.062378052,7.374683891,7.330165997,7.829037444,7.134400599,7.452384331,6.996655861,7.335356893,7.510854819,7.886500856,7.403368237,7.644434881,7.522163163,7.680140837,8.514000867
Compound420,8.186116534,7.957618862,7.685699124,6.815319533,7.041237485,7.577612066,7.120814286,7.63559819,7.746573853,7.859488801,8.13538327,8.475272043,8.412972623,8.476799069,7.575004392,8.103149886,8.390183494,8.434656139,7.679061267,8.234594858,8.123674829,7.801932554,7.251649289,8.192817831,7.585665706,8.299043874
Compound502,7.91323013,8.035905558,7.576154437,8.08592285,7.783342938,7.557222222,7.924166052,7.834038642,7.650465576,7.745837337,7.45813407,8.044088349,8.199121623,8.298441381,8.127524062,7.685050599,8.132366555,7.86401212,8.199468372,8.057965974,7.162967847,7.989597195,7.979320843,7.685408106,7.974720981,8.09376377
Compound901,7.328923728,7.339283954,7.105019291,7.1843326,7.407682743,8.073994349,7.356849452,7.389132884,7.409119135,7.000529625,7.398765012,7.474868452,7.275745482,7.126210683,7.39997365,6.697572123,7.300655465,6.877808043,7.387780549,7.275585525,7.011378508,7.3616064,7.420562477,6.993073963,6.861680039,7.255026083
Compound1854,7.673007661,7.333425409,7.473854237,7.499102312,7.615546718,6.859162761,7.534534228,7.588131459,7.481912446,7.502087489,7.738943564,7.236490682,7.124106984,7.547073593,7.655136724,7.644951401,7.488900223,7.675707937,7.466201834,7.723497779,7.3143598,7.305835291,7.490029173,7.710387324,7.486149024,7.690597645
Compound3656,7.354847108,7.207672053,7.374011014,7.408960041,7.555263574,7.495517623,7.338807384,7.445209289,7.481858362,7.499754973,7.455297614,6.979012744,7.557578478,7.262765284,7.279153903,7.284189887,7.594190471,7.361888532,7.23009681,7.458164836,7.293609615,7.394208178,7.100440606,7.256006487,7.514259196,7.416483902
Compound4294,7.352710427,7.347741922,7.10055084,7.284395719,7.384349614,7.431396466,7.276755776,7.275307581,7.163540763,6.889217448,7.563765928,7.331227452,6.61354635,7.242700326,7.391804015,7.471314675,7.054025702,7.122589692,7.41650851,7.412793593,7.076236026,7.151502853,7.580783257,7.482242993,7.579119941,7.377754933
Compound5320,6.866952088,7.113328035,7.250826938,6.959280394,7.186284486,6.949240055,7.13003927,6.651821418,7.061839843,7.099549849,6.948056185,7.133424782,6.907327832,7.354970352,6.867584365,7.029284449,6.805987877,6.759337785,6.856796985,7.012406461,7.234920403,6.869814108,6.828260128,7.102937867,7.234196834,7.136598906
Compound5892,6.580208366,7.035808145,6.837972884,6.752898477,6.766611672,6.83540039,6.755839089,6.899968172,6.837034598,6.842718243,6.75607356,6.579711634,6.744110325,6.847466554,6.880953452,6.636784304,6.986331054,6.881577982,6.816465767,6.789570512,6.932755578,6.591665625,6.76067912,6.742239369,6.593043321,6.844756881
Compound7739,6.711055881,6.734427892,6.632168678,6.713103529,6.686807934,6.81650769,6.620352349,6.775973994,6.773315061,6.718554594,6.451128174,6.675387981,6.634592178,6.702249425,6.859968419,6.619619117,6.807939201,6.614483714,6.720062916,6.625291333,6.840091488,6.67213864,6.634995437,6.705690127,6.716941617,6.823063397
Compound8760,6.759504272,6.583046502,6.703392152,6.616843058,6.846980319,6.517546665,6.707097796,6.812064563,6.794106291,6.767163729,6.615517193,6.744939671,6.803160207,6.82660909,6.57682343,6.755148095,6.601619691,6.620245189,6.596898847,6.749577847,6.632706666,6.76477072,6.707393393,6.802591453,6.798032904,6.829036931
Compound8859,5.51102966,5.412155777,5.650679582,5.57969932,5.643209158,5.648686514,5.654174641,5.487026106,5.891804625,5.599855966,5.656359295,5.470489396,5.522209676,5.593582942,5.513299026,5.503526792,5.517601435,5.632637509,5.538065108,5.468713441,5.499382724,5.559374393,5.602514182,5.524443233,5.233299736,5.400291914
Compound9640,5.588401342,5.516178435,5.722667833,5.410726981,5.424040616,5.873964451,5.464259766,5.52400984,5.896193387,5.613737513,5.556792602,5.564029071,5.422531637,5.888497897,5.698742488,5.464968695,5.518003277,5.549491373,5.620752924,5.330594412,5.520351685,5.657759787,5.635266481,5.382061447,5.640221761,5.482312906
Compound53,9.064162905,8.768321395,9.013229124,8.706684783,8.624115083,9.025865456,9.097202442,9.154642574,9.258649239,9.06513085,8.262645624,8.214371361,8.269090422,8.609923197,8.894109611,9.181668922,8.933953036,8.181700241,9.29036109,9.097730642,9.257123042,8.977775827,8.430330632,8.986155252,8.918703968,8.586408282
Compound64,8.180511131,9.375415381,7.508167734,8.00015592,8.174837328,8.187932416,8.70281602,9.170007635,8.191820435,7.916429298,8.843119389,8.758053884,8.236337163,8.067525755,8.25490955,7.980750843,8.472864948,8.849727179,8.632467308,8.349293707,8.964645321,8.244815514,8.378212546,8.349719893,7.521604751,8.775255555
