Sample,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
Compound10091,6.205025594,6.27078847,6.320579288,6.285020892,6.30147086,6.211051925,5.998297061,6.134334917,6.163618213,6.311044991,6.274727594,6.332847711,6.217133509,6.378406726,6.016137075,6.393385839,6.36424243,6.251169295,6.404984298,6.289185914,6.105080752,6.149846364,6.221401654,6.276051969,6.302544154,6.022531403
Compound3340,6.954373775,6.896805871,7.184737422,7.242968419,6.856989471,7.095416883,7.030847631,7.225356075,7.099802996,7.097965103,7.115362985,7.46184442,6.981783683,6.996196568,7.16639853,6.825877758,7.239782565,7.035369013,6.714934093,7.235999021,7.225095018,7.275819876,6.835267306,7.174498716,7.105353175,7.213370486
Compound3359,5.441277126,5.470580944,5.753031304,5.562665746,5.611036659,5.480643239,5.654436128,5.719315894,5.833152477,5.518833796,5.694429457,5.506804038,5.770584449,5.625569061,5.608286915,5.473438167,5.489592196,5.565709496,5.548388486,5.466045414,5.607002399,5.732373956,5.450580243,5.48526132,5.476292121,5.675524862
Compound5615,7.041152333,6.973656602,6.908392224,6.948819958,7.019603038,6.922803597,6.999662339,7.074983191,6.545687756,6.843345508,6.921107223,7.054201656,7.026671713,7.185769017,7.019860889,7.106620893,7.076257991,7.002024134,7.006035993,6.766087689,6.862483155,6.44393681,7.095371895,6.850714556,7.017285981,7.130444005
Compound4993,6.895205071,6.679358869,6.946572742,6.713366975,7.081746952,6.983825022,6.974560731,6.968464127,6.79267458,6.693840623,7.130462628,6.899739657,7.138179617,7.154583745,7.001234185,6.8589365,6.745657367,6.856138113,6.758713652,6.829131293,7.137305903,6.857325992,7.211942178,7.064734758,6.911965581,6.919706957
Compound1237,7.6969792,7.037114389,7.47182217,7.969707939,7.726924486,7.912330818,7.621360371,7.741381829,7.61464562,7.554934492,7.58723969,7.461570333,7.750675009,7.611346721,7.585662991,7.649422534,7.484939078,7.819569508,7.1591107,7.761053861,7.566489802,7.672745995,7.755350589,7.842304976,7.753096426,7.767037536
Compound1269,7.39334094,7.497675683,7.542550202,7.300073408,7.466785464,7.481190025,7.408973163,7.278247098,7.487291348,7.463209673,7.324265418,7.110242606,7.687345629,7.534350465,7.31029495,7.474217442,7.448550778,7.156252172,7.33407172,7.645793962,7.972147657,7.645204572,7.38004347,7.483067142,7.438177661,7.062343806
Compound4379,7.109783363,7.432208586,7.27478563,7.407888032,7.19320764,7.503019728,7.078893515,7.159793054,7.525780256,7.209908312,7.193815866,7.409942499,7.428353129,7.428821054,7.291835337,7.275879059,7.438341689,6.958372006,7.210967645,7.285982589,7.483466488,7.243903492,7.415026618,7.263829969,7.361288581,7.360483069
Compound7225,6.985461592,6.975132372,7.009934993,6.998430115,6.899691428,7.014726052,6.899091577,6.896813977,6.926581118,7.033419573,6.8838952,7.058805851,6.965742946,6.942701253,6.949461667,6.966190192,6.891885252,6.918144192,6.799984211,6.777833388,6.750663563,6.881112221,6.695312485,6.669252981,7.095518987,6.594833482
Compound2278,7.658675052,7.39312937,7.633966993,7.538525246,7.526362033,7.512171765,7.442316472,7.405713285,7.180657869,7.717590172,7.463198569,7.652533045,7.567450755,7.640777064,7.715647575,7.383822026,7.469519986,7.440183922,7.377126898,7.655157119,7.526880109,7.784859698,7.476869596,7.424101217,7.563318959,7.623618252
Compound4424,5.668139229,5.715395963,5.687352437,5.345790716,5.414356632,5.582269965,5.559453554,5.46590474,5.758428249,5.508399392,5.641564645,5.610977299,5.615662046,5.650697492,5.646522784,5.539302331,5.685119748,5.484389914,5.417181788,5.593688579,5.546401094,5.576366818,5.434800278,5.46693718,5.63798766,5.633316945
Compound6682,7.072550575,7.193791294,6.891132538,6.872935744,7.272720709,7.00460513,6.768018592,6.9810231,6.883524926,6.865129387,6.895257467,7.016870379,6.919244058,6.938244887,6.838976304,6.605604236,6.841184762,6.801578958,6.876920676,7.116869493,6.640419972,6.888433424,6.917615766,6.852998465,6.907300114,6.901426471
Compound7394,6.717546929,6.746873631,6.674684801,6.781146203,6.707068219,6.773729719,6.828083806,6.781777091,6.809791647,6.839748798,6.827915662,6.732248261,6.76401622,6.885978751,6.784916191,6.86850024,6.8322508,6.770387826,6.810276161,6.799913956,6.833866451,6.936552413,6.769680107,6.796239624,6.808515122,6.885061628
